✓,Card,Type,Color,View,Picked By,
,Enduring Innocence,Enchantment Creature — Sheep Glimmer,W,View,,
✓,Flickerwisp,Creature — Elemental,W,View,flutterdev,$G$40
✓,Loran of the Third Path,Legendary Creature — Human Artificer,W,View,Patrick,$C$36
,Monastery Mentor,Creature — Human Monk,W,View,,
✓,Ranger-Captain of Eos,Creature — Human Soldier Ranger,W,View,Coopergfrye,$L$47
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,flutterdev,$G$36
,Skyclave Apparition,Creature — Kor Spirit,W,View,,
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,flutterdev,$G$44
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,whalematron,$J$38
,Ranger of Eos,Creature — Human Soldier Ranger,W,View,,
✓,Restoration Angel,Creature — Angel,W,View,Aspi,$F$40
✓,Serra Paragon,Creature — Angel,W,View,Coopergfrye,$L$42
✓,Witch Enchanter,Creature — Human Warlock,W,View,flutterdev,$G$39
✓,Solitude,Creature — Elemental Incarnation,W,View,Coopergfrye,$L$4
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,flutterdev,$G$26
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,flutterdev,$G$31
✓,Condemn,Instant,W,View,jakebrowne,$D$11
✓,Ephemerate,Instant,W,View,Coopergfrye,$L$33
✓,Mana Tithe,Instant,W,View,flutterdev,$G$27
✓,Path to Exile,Instant,W,View,jakebrowne,$D$7
✓,Swords to Plowshares,Instant,W,View,Patrick,$C$4
✓,Reprieve,Instant,W,View,jakebrowne,$D$18
✓,Thraben Charm,Instant,W,View,Coopergfrye,$L$36
✓,Unexpectedly Absent,Instant,W,View,flutterdev,$G$28
✓,Oust,Sorcery,W,View,Coopergfrye,$L$8
✓,Prismatic Ending,Sorcery,W,View,Coopergfrye,$L$10
✓,Winds of Abandon,Sorcery,W,View,Coopergfrye,$L$41
✓,Sevinne's Reclamation,Sorcery,W,View,Coopergfrye,$L$21
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,Coopergfrye,$L$35
✓,Sunfall,Sorcery,W,View,jakebrowne,$D$34
✓,Portable Hole,Artifact,W,View,flutterdev,$G$19
✓,Collector's Cage,Artifact,W,View,Coopergfrye,$L$48
✓,Glimmer Lens,Artifact — Equipment,W,View,flutterdev,$G$32
✓,Staff of the Storyteller,Artifact,W,View,whalematron,$J$15
,Maul of the Skyclaves,Artifact — Equipment,W,View,,
,Unidentified Hovership,Artifact — Vehicle,W,View,,
,Legion's Landing,Legendary Enchantment,W,View,,
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,flutterdev,$G$41
✓,Aang's Iceberg,Enchantment,W,View,Coopergfrye,$L$43
,Caretaker's Talent,Enchantment — Class,W,View,,
,Wedding Announcement,Enchantment,W,View,,
,Virtue of Loyalty,Enchantment,W,View,,
,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,,
✓,The Wandering Emperor,Legendary Planeswalker,W,View,flutterdev,$G$20
✓,Abandoned Air Temple,Land,W,View,Coopergfrye,$L$22
✓,Mockingbird,Creature — Bird Bard,U,View,Coopergfrye,$L$24
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,Coopergfrye,$L$25
,Spyglass Siren,Creature — Siren Pirate,U,View,,
✓,Duelist of the Mind,Creature — Human Advisor,U,View,jakebrowne,$D$45
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,jakebrowne,$D$28
✓,Floodpits Drowner,Creature — Merfolk,U,View,whalematron,$J$25
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Coopergfrye,$L$37
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,Aspi,$F$36
✓,Ledger Shredder,Creature — Bird Advisor,U,View,Coopergfrye,$L$9
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,Skorish,$I$48
✓,Mischievous Mystic,Creature — Human Wizard,U,View,Aspi,$F$35
✓,Phantasmal Image,Creature — Illusion,U,View,jakebrowne,$D$44
,Silent Hallcreeper,Enchantment Creature — Horror,U,View,,
✓,Snapcaster Mage,Creature — Human Wizard,U,View,Aspi,$F$13
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,jakebrowne,$D$6
✓,Abhorrent Oculus,Creature — Eye,U,View,Patrick,$C$21
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,whalematron,$J$26
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,Skorish,$I$20
✓,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,Skorish,$I$43
,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,,
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Skorish,$I$41
✓,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,Aspi,$F$44
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,Skorish,$I$45
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,whalematron,$J$42
✓,Micromancer,Creature — Human Wizard,U,View,Coopergfrye,$L$32
✓,Subtlety,Creature — Elemental Incarnation,U,View,Skorish,$I$7
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Skorish,$I$4
✓,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,Aspi,$F$43
✓,Quantum Riddler,Creature — Sphinx,U,View,Coopergfrye,$L$5
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,whalematron,$J$17
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,Skorish,$I$36
,Torrential Gearhulk,Artifact Creature — Construct,U,View,,
✓,Brainstorm,Instant,U,View,Aspi,$F$6
✓,Consider,Instant,U,View,Aspi,$F$25
✓,Fading Hope,Instant,U,View,Aspi,$F$34
✓,Force Spike,Instant,U,View,Coopergfrye,$L$39
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,Skorish,$I$17
✓,Stern Scolding,Instant,U,View,Skorish,$I$33
✓,Thought Scour,Instant,U,View,Aspi,$F$26
✓,Three Steps Ahead,Instant,U,View,jakebrowne,$D$31
✓,Consult the Star Charts,Instant,U,View,jakebrowne,$D$40
✓,Counterspell,Instant,U,View,Skorish,$I$9
✓,Make Disappear,Instant,U,View,Aspi,$F$27
✓,Mana Leak,Instant,U,View,jakebrowne,$D$10
✓,Memory Lapse,Instant,U,View,whalematron,$J$7
✓,Miscalculation,Instant,U,View,jakebrowne,$D$26
✓,Remand,Instant,U,View,jakebrowne,$D$9
✓,Cryptic Command,Instant,U,View,Skorish,$I$28
✓,Mystic Confluence,Instant,U,View,jakebrowne,$D$8
✓,Sublime Epiphany,Instant,U,View,whalematron,$J$34
✓,Commit // Memory,Instant,U,View,Skorish,$I$35
✓,Hard Evidence,Sorcery,U,View,Coopergfrye,$L$27
✓,Ponder,Sorcery,U,View,Aspi,$F$15
✓,Preordain,Sorcery,U,View,Skorish,$I$18
,Chart a Course,Sorcery,U,View,,
✓,Stock Up,Sorcery,U,View,Skorish,$I$8
✓,Unnerving Grasp,Sorcery,U,View,Aspi,$F$33
✓,Winternight Stories,Sorcery,U,View,Coopergfrye,$L$40
✓,Lórien Revealed,Sorcery,U,View,whalematron,$J$9
✓,Temporal Manipulation,Sorcery,U,View,Skorish,$I$29
,Time Warp,Sorcery,U,View,,
✓,Treasure Cruise,Sorcery,U,View,Aspi,$F$21
✓,Aether Spellbomb,Artifact,U,View,Skorish,$I$12
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Aspi,$F$16
✓,Cryptic Coat,Artifact — Equipment,U,View,Skorish,$I$39
✓,Stormchaser's Talent,Enchantment — Class,U,View,Aspi,$F$23
✓,Unable to Scream,Enchantment — Aura,U,View,whalematron,$J$19
✓,Dress Down,Enchantment,U,View,Skorish,$I$34
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,Aspi,$F$29
✓,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,Skorish,$I$40
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,Skorish,$I$21
✓,Mystic Sanctuary,Land — Island,U,View,Skorish,$I$30
✓,"Otawara, Soaring City",Legendary Land,U,View,Coopergfrye,$L$23
✓,Concealing Curtains,Creature — Wall,B,View,jakebrowne,$D$33
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,MossViper,$H$34
,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,,
✓,Nethergoyf,Creature — Lhurgoyf,B,View,Patrick,$C$34
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,w1dcrd,$E$37
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
✓,Bloodghast,Creature — Vampire Spirit,B,View,MossViper,$H$38
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,Patrick,$C$33
✓,Dark Confidant,Creature — Human Wizard,B,View,MossViper,$H$25
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,Patrick,$C$8
✓,Deep-Cavern Bat,Creature — Bat,B,View,jakebrowne,$D$15
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,MossViper,$H$37
✓,Marionette Apprentice,Creature — Human Artificer,B,View,w1dcrd,$E$40
✓,Misery's Shadow,Creature — Shade,B,View,MossViper,$H$42
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,MossViper,$H$39
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,w1dcrd,$E$39
✓,Sunset Saboteur,Creature — Human Rogue,B,View,w1dcrd,$E$48
✓,Tenacious Underdog,Creature — Human Warrior,B,View,Patrick,$C$41
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,jakebrowne,$D$41
,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,,
✓,Ophiomancer,Creature — Human Shaman,B,View,MossViper,$H$23
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,whalematron,$J$33
✓,Raven Eagle,Creature — Bird Assassin,B,View,Patrick,$C$38
✓,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,w1dcrd,$E$47
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,MossViper,$H$6
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,MossViper,$H$32
✓,Woe Strider,Creature — Horror,B,View,MossViper,$H$40
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,Patrick,$C$35
✓,Grief,Creature — Elemental Incarnation,B,View,MossViper,$H$30
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,Patrick,$C$45
✓,"Rankle, Master of Pranks",Legendary Creature — Faerie Rogue,B,View,Patrick,$C$47
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,Patrick,$C$5
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,MossViper,$H$7
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,Patrick,$C$9
✓,Crabomination,Creature — Crab Demon,B,View,Patrick,$C$6
✓,Grave Titan,Creature — Giant,B,View,Aspi,$F$46
✓,Troll of Khazad-dûm,Creature — Troll,B,View,MossViper,$H$17
✓,Cut Down,Instant,B,View,whalematron,$J$30
✓,Dark Ritual,Instant,B,View,Patrick,$C$10
✓,Fatal Push,Instant,B,View,Patrick,$C$7
✓,Bitter Triumph,Instant,B,View,MossViper,$H$18
✓,Go for the Throat,Instant,B,View,rocketman7,$K$21
✓,Infernal Grasp,Instant,B,View,MossViper,$H$28
✓,Sheoldred's Edict,Instant,B,View,jakebrowne,$D$24
✓,Dismember,Instant,B,View,whalematron,$J$5
✓,Saw in Half,Instant,B,View,Patrick,$C$46
✓,Fell the Profane,Instant,B,View,MossViper,$H$29
✓,Snuff Out,Instant,B,View,MossViper,$H$8
✓,Murderous Cut,Instant,B,View,whalematron,$J$29
✓,Bloodchief's Thirst,Sorcery,B,View,jakebrowne,$D$20
✓,Bone Shards,Sorcery,B,View,Patrick,$C$26
✓,Duress,Sorcery,B,View,Patrick,$C$23
✓,Inquisition of Kozilek,Sorcery,B,View,MossViper,$H$15
✓,Thoughtseize,Sorcery,B,View,MossViper,$H$4
✓,Unearth,Sorcery,B,View,Patrick,$C$19
✓,Collective Brutality,Sorcery,B,View,Patrick,$C$37
✓,Demonic Tutor,Sorcery,B,View,MossViper,$H$5
✓,Fell,Sorcery,B,View,Patrick,$C$32
✓,Persist,Sorcery,B,View,Patrick,$C$44
✓,Quag Feast,Sorcery,B,View,Patrick,$C$22
✓,Toxic Deluge,Sorcery,B,View,MossViper,$H$9
✓,Damnation,Sorcery,B,View,Patrick,$C$27
✓,Gix's Command,Sorcery,B,View,jakebrowne,$D$42
✓,Scavenger's Talent,Enchantment — Class,B,View,w1dcrd,$E$41
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,w1dcrd,$E$38
✓,Chthonian Nightmare,Enchantment,B,View,MossViper,$H$11
✓,The Meathook Massacre,Legendary Enchantment,B,View,MossViper,$H$27
✓,Necromancy,Enchantment,B,View,MossViper,$H$10
✓,Virtue of Persistence,Enchantment,B,View,Patrick,$C$31
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Patrick,$C$30
✓,Phyrexian Tower,Legendary Land,B,View,MossViper,$H$41
,Spymaster's Vault,Land,B,View,,
✓,Bomat Courier,Artifact Creature — Construct,R,View,w1dcrd,$E$42
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,w1dcrd,$E$9
✓,Grim Lavamancer,Creature — Human Wizard,R,View,Aspi,$F$24
✓,Heartfire Hero,Creature — Mouse Soldier,R,View,,$E$23
✓,Hired Claw,Creature — Lizard Mercenary,R,View,w1dcrd,$E$16
✓,Marauding Mako,Creature — Shark Pirate,R,View,w1dcrd,$E$27
,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,,
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,flutterdev,$G$4
✓,Voldaren Epicure,Creature — Vampire,R,View,w1dcrd,$E$28
,Amped Raptor,Creature — Dinosaur,R,View,,
✓,Bloodthirsty Adversary,Creature — Vampire,R,View,Aspi,$F$37
,Dragonkin Berserker,Creature — Human Berserker,R,View,,
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,Aspi,$F$11
,Earthshaker Khenra,Creature — Jackal Warrior,R,View,,
✓,Emberheart Challenger,Creature — Mouse Warrior,R,View,w1dcrd,$E$18
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,w1dcrd,$E$6
✓,Generous Plunderer,Creature — Human Rogue,R,View,Aspi,$F$42
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,flutterdev,$G$7
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,flutterdev,$G$10
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,w1dcrd,$E$22
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,Skorish,$I$42
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,flutterdev,$G$17
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,w1dcrd,$E$13
✓,Searslicer Goblin,Creature — Goblin Warrior,R,View,w1dcrd,$E$21
✓,Bonecrusher Giant,Creature — Giant,R,View,w1dcrd,$E$12
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,flutterdev,$G$11
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,w1dcrd,$E$25
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,flutterdev,$G$21
✓,Rampaging Ferocidon,Creature — Dinosaur,R,View,w1dcrd,$E$46
✓,Screaming Nemesis,Creature — Spirit,R,View,flutterdev,$G$9
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,flutterdev,$G$29
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,Aspi,$F$22
,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,,
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,w1dcrd,$E$4
,Rampaging Raptor,Creature — Dinosaur,R,View,,
,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,,
✓,Fury,Creature — Elemental Incarnation,R,View,flutterdev,$G$5
✓,Glorybringer,Creature — Dragon,R,View,flutterdev,$G$37
,Goldspan Dragon,Creature — Dragon,R,View,,
✓,Zealous Conscripts,Creature — Human Warrior,R,View,w1dcrd,$E$43
✓,Oliphaunt,Creature — Elephant,R,View,flutterdev,$G$16
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,w1dcrd,$E$19
,Trumpeting Carnosaur,Creature — Dinosaur,R,View,,
✓,Burst Lightning,Instant,R,View,w1dcrd,$E$8
✓,Fire Magic,Instant,R,View,Skorish,$I$27
✓,Lightning Bolt,Instant,R,View,w1dcrd,$E$5
✓,Monstrous Rage,Instant,R,View,w1dcrd,$E$24
✓,Torch the Tower,Instant,R,View,Aspi,$F$20
✓,Unholy Heat,Instant,R,View,Aspi,$F$9
✓,Abrade,Instant,R,View,Skorish,$I$22
✓,Ghostfire Slice,Instant,R,View,Aspi,$F$28
✓,Mine Collapse,Instant,R,View,flutterdev,$G$15
✓,Fireblast,Instant,R,View,w1dcrd,$E$10
✓,Pyrokinesis,Instant,R,View,Aspi,$F$8
✓,Chain Lightning,Sorcery,R,View,w1dcrd,$E$7
,Faithless Looting,Sorcery,R,View,,
✓,Flame Slash,Sorcery,R,View,flutterdev,$G$8
✓,Iroh's Demonstration,Sorcery — Lesson,R,View,flutterdev,$G$23
✓,Mizzium Mortars,Sorcery,R,View,Skorish,$I$37
,Mizzix's Mastery,Sorcery,R,View,,
✓,Pyrite Spellbomb,Artifact,R,View,Skorish,$I$24
✓,Chainsaw,Artifact — Equipment,R,View,flutterdev,$G$35
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,Aspi,$F$5
✓,Legion Extruder,Artifact,R,View,Skorish,$I$31
✓,Embercleave,Legendary Artifact — Equipment,R,View,Aspi,$F$38
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,w1dcrd,$E$20
✓,Goblin Bombardment,Enchantment,R,View,w1dcrd,$E$26
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Aspi,$F$4
,Fires of Invention,Enchantment,R,View,,
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,flutterdev,$G$33
✓,Arena of Glory,Land,R,View,w1dcrd,$E$17
✓,Birds of Paradise,Creature — Bird,G,View,rocketman7,$K$10
✓,Elvish Mystic,Creature — Elf Druid,G,View,whalematron,$J$37
✓,Llanowar Elves,Creature — Elf Druid,G,View,rocketman7,$K$43
,Molt Tender,Creature — Insect Druid,G,View,,
,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,,
,Sazh's Chocobo,Creature — Bird,G,View,,
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,rocketman7,$K$22
✓,Badgermole Cub,Creature — Badger Mole,G,View,whalematron,$J$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,rocketman7,$K$8
✓,Cankerbloom,Creature — Phyrexian Fungus,G,View,MossViper,$H$35
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,whalematron,$J$18
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,MossViper,$H$36
✓,Lotus Cobra,Creature — Snake,G,View,rocketman7,$K$17
,Nishoba Brawler,Creature — Cat Warrior,G,View,,
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,rocketman7,$K$41
✓,Scavenging Ooze,Creature — Ooze,G,View,rocketman7,$K$44
✓,Scythecat Cub,Creature — Cat,G,View,rocketman7,$K$7
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,whalematron,$J$6
,Sylvan Caryatid,Creature — Plant,G,View,,
✓,Tarmogoyf,Creature — Lhurgoyf,G,View,whalematron,$J$41
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,MossViper,$H$43
,Voracious Hydra,Creature — Hydra,G,View,,
✓,Endurance,Creature — Elemental Incarnation,G,View,rocketman7,$K$23
✓,Eternal Witness,Creature — Human Shaman,G,View,MossViper,$H$20
✓,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,rocketman7,$K$39
✓,Sandstorm Salvager,Creature — Human Artificer,G,View,whalematron,$J$36
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,rocketman7,$K$18
✓,Six,Legendary Creature — Treefolk,G,View,rocketman7,$K$11
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,rocketman7,$K$27
✓,Tireless Tracker,Creature — Human Scout,G,View,rocketman7,$K$19
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,rocketman7,$K$32
✓,Icetill Explorer,Creature — Insect Scout,G,View,rocketman7,$K$6
,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,,
✓,Questing Beast,Legendary Creature — Beast,G,View,rocketman7,$K$36
✓,Timeless Witness,Creature — Human Shaman,G,View,MossViper,$H$46
✓,Ulvenwald Oddity,Creature — Beast,G,View,whalematron,$J$32
,Agonasaur Rex,Creature — Dinosaur,G,View,,
,Balustrade Wurm,Creature — Wurm,G,View,,
,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,,
✓,Thragtusk,Creature — Beast,G,View,MossViper,$H$45
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,rocketman7,$K$13
✓,Generous Ent,Creature — Treefolk,G,View,whalematron,$J$31
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,rocketman7,$K$28
✓,Primeval Titan,Creature — Giant,G,View,Aspi,$F$48
✓,Titan of Industry,Creature — Elemental,G,View,rocketman7,$K$48
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,rocketman7,$K$25
,Woodfall Primus,Creature — Treefolk Shaman,G,View,,
✓,Inscription of Abundance,Instant,G,View,rocketman7,$K$46
✓,Green Sun's Zenith,Sorcery,G,View,rocketman7,$K$16
✓,Pest Infestation,Sorcery,G,View,Coopergfrye,$L$20
✓,Primal Might,Sorcery,G,View,rocketman7,$K$34
✓,Esper Origins,Sorcery,G,View,MossViper,$H$19
✓,Malevolent Rumble,Sorcery,G,View,rocketman7,$K$9
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,rocketman7,$K$38
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,whalematron,$J$16
,The Great Henge,Legendary Artifact,G,View,,
,Exploration,Enchantment,G,View,,
✓,Utopia Sprawl,Enchantment — Aura,G,View,whalematron,$J$28
✓,Birthing Ritual,Enchantment,G,View,MossViper,$H$24
✓,Hunter's Talent,Enchantment — Class,G,View,whalematron,$J$44
,Innkeeper's Talent,Enchantment — Class,G,View,,
,Ranger Class,Enchantment — Class,G,View,,
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,rocketman7,$K$24
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,whalematron,$J$39
✓,"Boseiju, Who Endures",Legendary Land,G,View,MossViper,$H$31
✓,Shifting Woodland,Land,G,View,rocketman7,$K$42
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,flutterdev,$G$18
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,Coopergfrye,$L$17
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,Coopergfrye,$L$34
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,No More Lies,Instant,WU,View,Coopergfrye,$L$38
✓,Supreme Verdict,Sorcery,WU,View,jakebrowne,$D$35
✓,Talisman of Progress,Artifact,WU,View,jakebrowne,$D$47
✓,Assimilation Aegis,Artifact — Equipment,WU,View,Coopergfrye,$L$30
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,Coopergfrye,$L$16
,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,,
✓,Celestial Colonnade,Land,WU,View,Coopergfrye,$L$18
✓,Hallowed Fountain,Land — Plains Island,WU,View,jakebrowne,$D$13
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,jakebrowne,$D$14
✓,Meticulous Archive,Land — Plains Island,WU,View,Coopergfrye,$L$15
✓,Seachrome Coast,Land,WU,View,Coopergfrye,$L$19
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,Patrick,$C$28
✓,Priest of Fell Rites,Creature — Human Warlock,WB,View,jakebrowne,$D$30
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,jakebrowne,$D$36
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,jakebrowne,$D$5
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Damn,Sorcery,WB,View,jakebrowne,$D$25
✓,Lingering Souls,Sorcery,WB,View,jakebrowne,$D$29
✓,Concealed Courtyard,Land,WB,View,jakebrowne,$D$23
✓,Godless Shrine,Land — Plains Swamp,WB,View,Patrick,$C$14
✓,Godless Shrine 2,Land — Plains Swamp,WB,View,Patrick,$C$29
✓,Restless Fortress,Land,WB,View,jakebrowne,$D$43
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,jakebrowne,$D$19
