✓,Card,Type,Color,View,Picked By,
✓,Collective Brutality,Sorcery,B,View,LastAbzan,$I$33
✓,Demonic Tutor,Sorcery,B,View,LastAbzan,$I$5
✓,Persist,Sorcery,B,View,arborist77,$E$31
✓,Quag Feast,Sorcery,B,View,arborist77,$E$23
✓,Toxic Deluge,Sorcery,B,View,LastAbzan,$I$13
✓,Damnation,Sorcery,B,View,arborist77,$E$26
✓,Gix's Command,Sorcery,B,View,LastAbzan,$I$35
✓,Scavenger's Talent,Enchantment — Class,B,View,baronvonfonz,$L$42
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,Aspi,$D$26
✓,Chthonian Nightmare,Enchantment,B,View,baronvonfonz,$L$27
✓,The Meathook Massacre,Legendary Enchantment,B,View,baronvonfonz,$L$29
✓,Necromancy,Enchantment,B,View,arborist77,$E$12
✓,Virtue of Persistence,Enchantment,B,View,arborist77,$E$28
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,arborist77,$E$39
✓,Phyrexian Tower,Legendary Land,B,View,baronvonfonz,$L$34
✓,Spymaster's Vault,Land,B,View,arborist77,$E$32
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,Mr. Fancypants,$K$10
✓,Grim Lavamancer,Creature — Human Wizard,R,View,Neo,$F$24
✓,Heartfire Hero,Creature — Mouse Soldier,R,View,Neo,$F$18
✓,Hired Claw,Creature — Lizard Mercenary,R,View,Neo,$F$14
✓,Marauding Mako,Creature — Shark Pirate,R,View,Neo,$F$48
✓,Monastery Swiftspear,Creature — Human Monk,R,View,Neo,$F$39
✓,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,Neo,$F$26
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,Mr. Fancypants,$K$4
✓,Soul-Scar Mage,Creature — Human Wizard,R,View,Neo,$F$40
✓,Voldaren Epicure,Creature — Vampire,R,View,Jack,$C$44
✓,Amped Raptor,Creature — Dinosaur,R,View,Neo,$F$37
✓,Bloodthirsty Adversary,Creature — Vampire,R,View,arborist77,$E$41
✓,Dragonkin Berserker,Creature — Human Berserker,R,View,Neo,$F$28
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,Max,$J$41
✓,Earthshaker Khenra,Creature — Jackal Warrior,R,View,Neo,$F$38
✓,Emberheart Challenger,Creature — Mouse Warrior,R,View,Neo,$F$17
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,arborist77,$E$8
✓,Generous Plunderer,Creature — Human Rogue,R,View,Mr. Fancypants,$K$11
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,arborist77,$E$7
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,Greg,$M$9
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,Neo,$F$27
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,Mr. Fancypants,$K$13
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,Mr. Fancypants,$K$21
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,Mr. Fancypants,$K$24
✓,Bonecrusher Giant,Creature — Giant,R,View,Neo,$F$19
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,arborist77,$E$10
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,Neo,$F$42
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,Neo,$F$8
✓,Rampaging Ferocidon,Creature — Dinosaur,R,View,Mr. Fancypants,$K$42
✓,Screaming Nemesis,Creature — Spirit,R,View,Mr. Fancypants,$K$8
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,Mr. Fancypants,$K$12
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,arborist77,$E$14
✓,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,Mr. Fancypants,$K$36
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,Greg,$M$5
✓,Rampaging Raptor,Creature — Dinosaur,R,View,Neo,$F$33
✓,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,Mr. Fancypants,$K$40
✓,Fury,Creature — Elemental Incarnation,R,View,Neo,$F$5
✓,Glorybringer,Creature — Dragon,R,View,Mr. Fancypants,$K$25
✓,Goldspan Dragon,Creature — Dragon,R,View,Mr. Fancypants,$K$32
✓,Oliphaunt,Creature — Elephant,R,View,arborist77,$E$16
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,Keith,$N$20
✓,Trumpeting Carnosaur,Creature — Dinosaur,R,View,arborist77,$E$35
✓,Burst Lightning,Instant,R,View,Neo,$F$20
✓,Fire Magic,Instant,R,View,Max,$J$28
✓,Galvanic Discharge,Instant,R,View,arborist77,$E$15
✓,Lightning Bolt,Instant,R,View,Mr. Fancypants,$K$6
✓,Monstrous Rage,Instant,R,View,Neo,$F$34
✓,Torch the Tower,Instant,R,View,Keith,$N$23
✓,Unholy Heat,Instant,R,View,Max,$J$14
✓,Violent Urge,Instant,R,View,Neo,$F$46
✓,Abrade,Instant,R,View,Keith,$N$19
✓,Ghostfire Slice,Instant,R,View,Greg,$M$36
✓,Mine Collapse,Instant,R,View,Neo,$F$15
✓,Fireblast,Instant,R,View,Mr. Fancypants,$K$38
✓,Chain Lightning,Sorcery,R,View,Mr. Fancypants,$K$7
✓,Faithless Looting,Sorcery,R,View,Max,$J$19
✓,Flame Slash,Sorcery,R,View,Neo,$F$13
✓,Mizzium Mortars,Sorcery,R,View,Keith,$N$22
✓,Pyrite Spellbomb,Artifact,R,View,Greg,$M$29
✓,Chainsaw,Artifact — Equipment,R,View,Neo,$F$23
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,Mr. Fancypants,$K$5
✓,Legion Extruder,Artifact,R,View,Greg,$M$24
✓,Embercleave,Legendary Artifact — Equipment,R,View,Neo,$F$12
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,Neo,$F$16
✓,Artist's Talent,Enchantment — Class,R,View,Max,$J$39
✓,Goblin Bombardment,Enchantment,R,View,baronvonfonz,$L$14
✓,Underworld Breach,Enchantment,R,View,Max,$J$48
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Neo,$F$4
✓,Fires of Invention,Enchantment,R,View,Jack,$C$48
✓,The Legend of Roku,Enchantment — Saga,R,View,Mr. Fancypants,$K$9
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,Mr. Fancypants,$K$22
✓,Arena of Glory,Land,R,View,Neo,$F$21
✓,Birds of Paradise,Creature — Bird,G,View,Keith,$N$4
✓,Elvish Mystic,Creature — Elf Druid,G,View,MurmurTwin,$G$7
✓,Llanowar Elves,Creature — Elf Druid,G,View,baronvonfonz,$L$6
✓,Molt Tender,Creature — Insect Druid,G,View,Keith,$N$26
✓,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,MurmurTwin,$G$28
✓,Sazh's Chocobo,Creature — Bird,G,View,Jack,$C$45
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,Keith,$N$14
✓,Badgermole Cub,Creature — Badger Mole,G,View,MurmurTwin,$G$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,MurmurTwin,$G$26
✓,Cankerbloom,Creature — Phyrexian Fungus,G,View,baronvonfonz,$L$44
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,MurmurTwin,$G$18
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,MurmurTwin,$G$16
✓,Lotus Cobra,Creature — Snake,G,View,Keith,$N$16
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,MurmurTwin,$G$9
✓,Scavenging Ooze,Creature — Ooze,G,View,MurmurTwin,$G$25
✓,Scythecat Cub,Creature — Cat,G,View,Keith,$N$10
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,MurmurTwin,$G$8
✓,Sylvan Caryatid,Creature — Plant,G,View,baronvonfonz,$L$22
✓,Tarmogoyf,Creature — Lhurgoyf,G,View,Neo,$F$45
✓,Tifa Lockhart,Legendary Creature — Human Monk,G,View,Neo,$F$47
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,MurmurTwin,$G$36
✓,Voracious Hydra,Creature — Hydra,G,View,MurmurTwin,$G$14
✓,Endurance,Creature — Elemental Incarnation,G,View,MurmurTwin,$G$19
✓,Eternal Witness,Creature — Human Shaman,G,View,baronvonfonz,$L$20
✓,"Nissa, Resurgent Animist",Legendary Creature — Elf Scout,G,View,Keith,$N$17
✓,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,Keith,$N$24
✓,Sandstorm Salvager,Creature — Human Artificer,G,View,MurmurTwin,$G$38
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,MurmurTwin,$G$20
✓,Six,Legendary Creature — Treefolk,G,View,Keith,$N$15
✓,Tireless Tracker,Creature — Human Scout,G,View,Keith,$N$25
✓,Traveling Chocobo,Creature — Bird,G,View,Keith,$N$34
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,Keith,$N$28
✓,Icetill Explorer,Creature — Insect Scout,G,View,baronvonfonz,$L$5
✓,Mightform Harmonizer,Creature — Insect Druid,G,View,MurmurTwin,$G$42
✓,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,Keith,$N$46
✓,Questing Beast,Legendary Creature — Beast,G,View,MurmurTwin,$G$21
✓,Timeless Witness,Creature — Human Shaman,G,View,Keith,$N$30
✓,Ulvenwald Oddity,Creature — Beast,G,View,MurmurTwin,$G$22
✓,Agonasaur Rex,Creature — Dinosaur,G,View,MurmurTwin,$G$31
✓,Balustrade Wurm,Creature — Wurm,G,View,MurmurTwin,$G$40
✓,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,MurmurTwin,$G$24
✓,Thragtusk,Creature — Beast,G,View,MurmurTwin,$G$32
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,Keith,$N$21
✓,Generous Ent,Creature — Treefolk,G,View,MurmurTwin,$G$39
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,Keith,$N$31
✓,Primeval Titan,Creature — Giant,G,View,Jack,$C$46
✓,Titan of Industry,Creature — Elemental,G,View,Keith,$N$37
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,Jack,$C$39
✓,Inscription of Abundance,Instant,G,View,MurmurTwin,$G$15
✓,Green Sun's Zenith,Sorcery,G,View,MurmurTwin,$G$10
✓,Pest Infestation,Sorcery,G,View,MurmurTwin,$G$11
✓,Primal Might,Sorcery,G,View,MurmurTwin,$G$13
✓,Esper Origins,Sorcery,G,View,Keith,$N$33
✓,Malevolent Rumble,Sorcery,G,View,baronvonfonz,$L$11
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,MurmurTwin,$G$12
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,MurmurTwin,$G$23
✓,The Great Henge,Legendary Artifact,G,View,MurmurTwin,$G$34
✓,Utopia Sprawl,Enchantment — Aura,G,View,MurmurTwin,$G$6
✓,Birthing Ritual,Enchantment,G,View,MurmurTwin,$G$43
✓,Hunter's Talent,Enchantment — Class,G,View,MurmurTwin,$G$17
✓,Innkeeper's Talent,Enchantment — Class,G,View,MurmurTwin,$G$29
✓,Ranger Class,Enchantment — Class,G,View,MurmurTwin,$G$30
✓,Earthbender Ascension,Enchantment,G,View,MurmurTwin,$G$41
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,Keith,$N$29
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,MurmurTwin,$G$33
✓,"Boseiju, Who Endures",Legendary Land,G,View,MurmurTwin,$G$27
✓,Shifting Woodland,Land,G,View,baronvonfonz,$L$39
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,Jack,$C$19
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,Max,$J$27
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,Max,$J$23
✓,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,Ray Bees,$H$46
✓,No More Lies,Instant,WU,View,Max,$J$25
✓,Talisman of Progress,Artifact,WU,View,Mr. Fancypants,$K$41
✓,Assimilation Aegis,Artifact — Equipment,WU,View,Mr. Fancypants,$K$46
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,LastAbzan,$I$7
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,Max,$J$30
✓,Celestial Colonnade,Land,WU,View,LastAbzan,$I$39
✓,Hallowed Fountain,Land — Plains Island,WU,View,Max,$J$10
