No,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jack Heart,Max,baronvonfonz,Oophies,Greg,Bludac,Neo,Last Abzan,Jack,Lame4Fame,,,#NUM!,,,,,,,,,,,,,,,,,,
29,,Bonecrusher Giant,Liliana of the Veil,Fell the Profane,Hard Evidence,Genemorph Imago,"Gideon, Ally of Zendikar",Sandstorm Salvager,Dark Confidant,Boomerang Basics,Unnerving Grasp,,,,,,,,,,,,R,B,B,U,UG,W,G,B,U,U
30,↪,Commercial District,Priest of Forgotten Gods,Prismatic Ending,"Chandra, Torch of Defiance","Nissa, Resurgent Animist",Intrepid Adversary,Floodpits Drowner,Chainsaw,Monastery Mentor,Bloodchief's Thirst,,,,,,,,,,,,RG,B,W,R,G,W,U,R,W,B
31,,Ranger Class,Ravenous Chupacabra,Shadowy Backstreet,Spirebluff Canal,Pest Infestation,Ranger-Captain of Eos,Bristlebud Farmer,Blinkmoth Nexus,Agatha's Soul Cauldron,Three Steps Ahead,,,,,,,,,,,,G,B,WB,UR,G,W,G,C,C,U
32,,Glorybringer,Ophiomancer,Hostile Investigator,"Kiora, the Rising Tide",Generous Ent,Unidentified Hovership,Town Greeter,Rabbit Battery,Cryptic Command,Silent Hallcreeper,,,,↩,,,,,,,,R,B,B,U,G,W,G,R,U,U
33,,Torch the Tower,Scrapwork Mutt,Briarbridge Tracker,Consider,Ghostfire Slice,Sungold Sentinel,Abhorrent Oculus,Elegant Parlor,Phyrexian Metamorph,Enduring Curiosity,,,,,,,,,,,,R,R,G,U,R,W,U,WR,U,U
34,↪,Gingerbrute,Blackcleave Cliffs,Endurance,Soul-Scar Mage,Green Sun's Zenith,Aven Interrupter,Valgavoth's Onslaught,Sheoldred's Edict,Force Spike,"Tourach, Dread Cantor",,,,,,,,,,,,C,BR,G,R,G,W,G,B,U,B
35,,Copperline Gorge,Blooming Marsh,Timeless Witness,Palantír of Orthanc,Mizzium Mortars,Cathar Commando,"Boseiju, Who Endures",Kolaghan's Command,Hallowed Fountain,Faerie Mastermind,,,,,,,,,,,,RG,BG,G,C,R,W,G,BR,WU,U
36,,Scavenging Ooze,"Polukranos, Unchained",Condemn,Soul-Guide Lantern,Kishla Skimmer,Legion's Landing,Razorverge Thicket,Stalactite Stalker,"Karn, Scion of Urza",Phantasmal Shieldback,,,,↩,,,,,,,,G,BG,W,C,UG,W,WG,B,C,U
37,,Shifting Woodland,Wight of the Reliquary,Restless Fortress,Fading Hope,Botanical Sanctum,"Toby, Beastie Befriender","Skysovereign, Consul Flagship",Faithless Looting,"Teferi, Hero of Dominaria",Creeping Tar Pit,,,,,,,,,,,,G,BG,WB,U,UG,W,C,R,WU,UB
38,↪,Questing Druid,Trumpeting Carnosaur,Sorin of House Markov,Stormchaser's Talent,Thundering Falls,The Aetherspark,Inscription of Abundance,Knight of the Ebon Legion,Celestial Colonnade,Archfiend of the Dross,,,,,,,,,,,,RG,R,WB,U,UR,C,G,B,WU,B
39,,Tyvar's Stand,"Etali, Primal Conqueror",Concealing Curtains,Duelist of the Mind,Abrade,Elite Spellbinder,Keen-Eyed Curator,Fireblast,No More Lies,Baleful Strix,,,,,,,,,,,,G,RG,B,U,R,W,G,R,WU,UB
40,,"Surrak, Elusive Hunter",Quag Feast,Knight of Autumn,Winternight Stories,"Rofellos, Llanowar Emissary",Thraben Inspector,"Nissa, Who Shakes the World","Kroxa, Titan of Death's Hunger",Forensic Gadgeteer,Darkslick Shores,,,,↩,,,,,,,,G,B,WG,U,G,W,G,BR,U,UB
41,,Primal Might,Scavenger's Talent,Lingering Souls,Astrologian's Planisphere,Primeval Titan,Novice Inspector,Wurmcoil Engine,Tenacious Underdog,"Syr Ginger, the Meal Ender","Kaito, Bane of Nightmares",,,,,,,,,,,,G,B,WB,U,G,W,C,B,C,UB
42,↪,Scorching Shot,Persist,Stirring Wildwood,Artist's Talent,Balustrade Wurm,Descendant of Storms,Tough Cookie,Goblin Rabblemaster,Day of Judgment,Vendilion Clique,,,,,,,,,,,,R,B,WG,R,G,W,G,R,W,U
43,,"Migloz, Maze Crusher",Vaultborn Tyrant,Concealed Courtyard,Expressive Iteration,Power Word Kill,Journey to Nowhere,The Great Henge,Rampaging Raptor,Talisman of Progress,Grave Titan,,,,,,,,,,,,RG,G,WB,UR,B,W,G,R,WU,B
44,,Pawpatch Recruit,Sinkhole Surveyor,Tarmogoyf,Vivi Ornitier,Sublime Epiphany,Serra Paragon,"Nissa, Ascended Animist",Generous Plunderer,Myr Battlesphere,Time Warp,,,,✪,,,,,,,,G,B,G,UR,U,W,G,R,C,U
45,,Escape to the Wilds,Beifong's Bounty Hunters,Glissa Sunslayer,Third Path Iconoclast,Hydroid Krasis,"Adeline, Resplendent Cathar",The Endstone,Phyrexian Revoker,Nettlecyst,Kaito Shizuki,,,,,,,,,,,,RG,BG,BG,UR,UG,W,C,C,C,UB
