24,↪,Thraben Charm,Abandoned Air Temple,Burst Lightning,"Tourach, Dread Cantor",Forsaken Miner,Shifting Woodland,Mine Collapse,Fell the Profane,Prismatic Ending,Aether Spellbomb,,,,,,,,,,,,W,W,R,B,B,G,R,B,W,U
25,,Ranger-Captain of Eos,Lion Sash,Dreadhorde Arcanist,Liliana of the Veil,Infernal Grasp,Anticausal Vestige,Bonecrusher Giant,Mystic Sanctuary,Primeval Titan,Vivi Ornitier,,,↩,↩,,,,,,,,W,W,R,B,B,C,R,U,G,
26,↪,Consult the Star Charts,Intrepid Adversary,Ponder,Blood Crypt,Damnation,The Great Henge,Monstrous Rage,Floodpits Drowner,Sazh's Chocobo,Expressive Iteration,,,,,,,,,,,,U,W,U,BR,B,G,R,U,G,
27,,Usher of the Fallen,Sheltered by Ghosts,Proft's Eidetic Memory,Blood Crypt 2,Priest of Forgotten Gods,Wurmcoil Engine,Descendant of Storms,Virtue of Persistence,"Boseiju, Who Endures",Silverbluff Bridge,,,,,,,,,,,,W,W,U,BR,B,C,W,B,G,
28,,"Suki, Courageous Rescuer",The Aetherspark,Abhorrent Oculus,Collective Brutality,Saw in Half,Hunter's Talent,Witch Enchanter,Baleful Strix,Primal Might,Legion Extruder,,,↩,↩,,,,,,,,W,C,U,B,B,G,W,UB,G,R
29,,Virtue of Loyalty,Batterskull,Flame of Anor,Gix's Command,Bitterblossom,Eternal Witness,Glorybringer,Undercity Sewers,Micromancer,"Saheeli, Sublime Artificer",,,,,,,,,,,,W,C,UR,B,B,G,R,UB,U,UR
30,↪,Wedding Announcement,Winds of Abandon,Astrologian's Planisphere,Blackcleave Cliffs,Bloodghast,Cityscape Leveler,"Kari Zev, Skyship Raider","Cecil, Dark Knight",Breeding Pool,"Otawara, Soaring City",,,,,,,,,,,,W,W,U,BR,B,C,R,WB,UG,U
31,,Phantasmal Image,Unidentified Hovership,Stormchaser's Talent,Raucous Theater,Phyrexian Tower,Scavenging Ooze,Restless Bivouac,Sorin of House Markov,Stomping Ground,Lightning Helix,,,,,,,,,,,,U,W,U,BR,B,G,WR,WB,RG,WR
32,,Cathar Commando,Blade Splicer,Unable to Scream,Restless Vents,Sheoldred's Edict,Thragtusk,Loran of the Third Path,Sublime Epiphany,Time Warp,Consider,,,↩,↩,,,,,,,,W,W,U,BR,B,G,W,U,U,U
33,,Lurrus of the Dream-Den,Containment Priest,Kappa Cannoneer,"Kroxa, Titan of Death's Hunger","Gix, Yawgmoth Praetor",Vaultborn Tyrant,Mutavault,Chrome Host Seedshark,"Tamiyo, Collector of Tales",Iroh's Demonstration,,,,,,,,,,,,WB,W,U,BR,B,G,C,U,UG,R
34,↪,Chart a Course,Day of Judgment,"Kitsa, Otterball Elite",Reckoner Bankbuster,"Jadar, Ghoulcaller of Nephalia",Tough Cookie,Condemn,Watery Grave,Endurance,"Karn, Scion of Urza",,,,,,,,,,,,U,W,U,C,B,G,W,UB,G,C
35,,Unnerving Grasp,Restoration Angel,Make Disappear,Hostile Investigator,Damn,Sentinel of the Nameless City,Aang's Iceberg,Fell,Wrenn and Six,Sunfall,,,,,,,,,,,,U,W,U,B,WB,G,W,B,RG,W
36,,Enduring Curiosity,Imodane's Recruiter,Scrapwork Mutt,Overlord of the Boilerbilges,Warren Soultrader,"Surrak, Elusive Hunter",Cosmogrand Zenith,"Kaito, Bane of Nightmares",Field of the Dead,Abrade,,,↩,↩,,,,,,,,U,WR,R,R,B,G,W,UB,C,R
37,,"Gideon, Ally of Zendikar",Splitskin Doll,Watery Grave 2,Phyrexian Metamorph,Tenacious Underdog,Bristlebud Farmer,Searslicer Goblin,Creeping Tar Pit,Timeless Witness,Pyrite Spellbomb,,,,,,,,,,,,W,W,UB,U,B,G,R,UB,G,R
38,↪,Legion's Landing,Clarion Spirit,Mischievous Mystic,Kolaghan's Command,Scavenger's Talent,Ranger Class,"Chandra, Torch of Defiance",Invasion of Amonkhet,Territorial Kavu,Supreme Verdict,,,,,,,,,,,,W,W,U,BR,B,G,R,UB,RG,WU
39,,Blinkmoth Nexus,Maul of the Skyclaves,Marauding Mako,Raven Eagle,"Rankle, Master of Pranks",Inscription of Abundance,Goblin Rabblemaster,Kaito Shizuki,"Loot, the Pathfinder",Phantasmal Shieldback,,,,,,,,,,,,C,W,R,B,B,G,R,UB,URG,U
40,,Silent Hallcreeper,Eagles of the North,Monument to Endurance,Bloodtithe Harvester,Stalactite Stalker,Agonasaur Rex,Serra Paragon,Vendilion Clique,Temple Garden,Talisman of Progress,,,✪,✪,,,,,,,,U,W,C,BR,B,G,W,U,WG,WU
