✓,Card,Type,Color,View,Picked By,
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,Drew,$C$19
✓,Floodpits Drowner,Creature — Merfolk,U,View,Neo,$J$29
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Lame4Fame,$L$19
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,whalematron,$E$37
✓,Ledger Shredder,Creature — Bird Advisor,U,View,Neo,$J$23
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,Drew,$C$9
✓,Mischievous Mystic,Creature — Human Wizard,U,View,whalematron,$E$41
✓,Phantasmal Image,Creature — Illusion,U,View,Drew,$C$34
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,Drew,$C$43
✓,Snapcaster Mage,Creature — Human Wizard,U,View,Neo,$J$11
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,Neo,$J$24
✓,Abhorrent Oculus,Creature — Eye,U,View,whalematron,$E$31
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,Neo,$J$19
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,Neo,$J$36
,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,,
,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,,
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Aspi,$F$40
,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,,
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,Neo,$J$43
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,Drew,$C$39
✓,Micromancer,Creature — Human Wizard,U,View,LastAbzan,$K$32
✓,Subtlety,Creature — Elemental Incarnation,U,View,Neo,$J$6
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Lame4Fame,$L$14
,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,,
✓,Quantum Riddler,Creature — Sphinx,U,View,Neo,$J$4
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,Neo,$J$5
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,whalematron,$E$36
,Torrential Gearhulk,Artifact Creature — Construct,U,View,,
✓,Brainstorm,Instant,U,View,whalematron,$E$11
✓,Consider,Instant,U,View,Lame4Fame,$L$35
✓,Fading Hope,Instant,U,View,whalematron,$E$26
✓,Force Spike,Instant,U,View,Neo,$J$18
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,LastAbzan,$K$24
✓,Stern Scolding,Instant,U,View,Neo,$J$7
,Thought Scour,Instant,U,View,,
✓,Three Steps Ahead,Instant,U,View,Neo,$J$26
✓,Consult the Star Charts,Instant,U,View,Drew,$C$29
✓,Counterspell,Instant,U,View,Neo,$J$8
✓,Make Disappear,Instant,U,View,whalematron,$E$38
✓,Mana Leak,Instant,U,View,LastAbzan,$K$7
✓,Memory Lapse,Instant,U,View,Lame4Fame,$L$6
✓,Miscalculation,Instant,U,View,Neo,$J$9
✓,Remand,Instant,U,View,Lame4Fame,$L$7
✓,Cryptic Command,Instant,U,View,Neo,$J$20
✓,Mystic Confluence,Instant,U,View,Lame4Fame,$L$4
✓,Sublime Epiphany,Instant,U,View,Neo,$J$35
,Commit // Memory,Instant,U,View,,
✓,Hard Evidence,Sorcery,U,View,Neo,$J$25
✓,Ponder,Sorcery,U,View,whalematron,$E$29
✓,Preordain,Sorcery,U,View,Drew,$C$25
✓,Chart a Course,Sorcery,U,View,Drew,$C$37
✓,Stock Up,Sorcery,U,View,Lame4Fame,$L$5
✓,Unnerving Grasp,Sorcery,U,View,Drew,$C$38
,Winternight Stories,Sorcery,U,View,,
✓,Lórien Revealed,Sorcery,U,View,Lame4Fame,$L$9
,Temporal Manipulation,Sorcery,U,View,,
✓,Time Warp,Sorcery,U,View,LastAbzan,$K$35
✓,Treasure Cruise,Sorcery,U,View,LastAbzan,$K$22
✓,Aether Spellbomb,Artifact,U,View,Lame4Fame,$L$27
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,whalematron,$E$33
✓,Cryptic Coat,Artifact — Equipment,U,View,Drew,$C$26
✓,Stormchaser's Talent,Enchantment — Class,U,View,whalematron,$E$34
✓,Unable to Scream,Enchantment — Aura,U,View,whalematron,$E$35
,Dress Down,Enchantment,U,View,,
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,whalematron,$E$30
,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,,
,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,,
✓,Mystic Sanctuary,Land — Island,U,View,Neo,$J$28
✓,"Otawara, Soaring City",Legendary Land,U,View,Lame4Fame,$L$33
✓,Concealing Curtains,Creature — Wall,B,View,Aspi,$F$26
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,Greg Sobetski,$G$27
,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,,
✓,Nethergoyf,Creature — Lhurgoyf,B,View,Greg Sobetski,$G$23
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,Greg Sobetski,$G$43
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
✓,Bloodghast,Creature — Vampire Spirit,B,View,Greg Sobetski,$G$33
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,Greg Sobetski,$G$18
✓,Dark Confidant,Creature — Human Wizard,B,View,Greg Sobetski,$G$24
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,Aspi,$F$19
✓,Deep-Cavern Bat,Creature — Bat,B,View,Greg Sobetski,$G$7
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,Greg Sobetski,$G$37
✓,Marionette Apprentice,Creature — Human Artificer,B,View,Greg Sobetski,$G$15
,Misery's Shadow,Creature — Shade,B,View,,
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,Greg Sobetski,$G$30
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,Greg Sobetski,$G$26
,Sunset Saboteur,Creature — Human Rogue,B,View,,
✓,Tenacious Underdog,Creature — Human Warrior,B,View,Greg Sobetski,$G$40
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,Aspi,$F$27
✓,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,Greg Sobetski,$G$36
✓,Ophiomancer,Creature — Human Shaman,B,View,Greg Sobetski,$G$16
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,Greg Sobetski,$G$21
✓,Raven Eagle,Creature — Bird Assassin,B,View,Aspi,$F$42
,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,,
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,Greg Sobetski,$G$11
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,Greg Sobetski,$G$39
,Woe Strider,Creature — Horror,B,View,,
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,Greg Sobetski,$G$20
✓,Grief,Creature — Elemental Incarnation,B,View,Aspi,$F$23
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,Aspi,$F$38
✓,"Rankle, Master of Pranks",Legendary Creature — Faerie Rogue,B,View,Greg Sobetski,$G$42
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,Greg Sobetski,$G$4
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,Greg Sobetski,$G$8
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,Aspi,$F$14
✓,Crabomination,Creature — Crab Demon,B,View,Aspi,$F$15
✓,Grave Titan,Creature — Giant,B,View,Aspi,$F$20
✓,Troll of Khazad-dûm,Creature — Troll,B,View,Neo,$J$16
✓,Cut Down,Instant,B,View,Greg Sobetski,$G$9
✓,Dark Ritual,Instant,B,View,Greg Sobetski,$G$22
✓,Fatal Push,Instant,B,View,Greg Sobetski,$G$6
✓,Bitter Triumph,Instant,B,View,Aspi,$F$25
✓,Go for the Throat,Instant,B,View,Greg Sobetski,$G$19
✓,Infernal Grasp,Instant,B,View,Greg Sobetski,$G$28
✓,Sheoldred's Edict,Instant,B,View,Greg Sobetski,$G$35
✓,Dismember,Instant,B,View,Neo,$J$10
✓,Saw in Half,Instant,B,View,Greg Sobetski,$G$31
✓,Fell the Profane,Instant,B,View,Neo,$J$27
✓,Snuff Out,Instant,B,View,Aspi,$F$8
✓,Murderous Cut,Instant,B,View,Aspi,$F$18
✓,Bloodchief's Thirst,Sorcery,B,View,Neo,$J$21
✓,Bone Shards,Sorcery,B,View,Neo,$J$14
✓,Duress,Sorcery,B,View,Greg Sobetski,$G$13
✓,Inquisition of Kozilek,Sorcery,B,View,Aspi,$F$6
✓,Thoughtseize,Sorcery,B,View,Greg Sobetski,$G$5
,Unearth,Sorcery,B,View,,
✓,Collective Brutality,Sorcery,B,View,Aspi,$F$31
✓,Demonic Tutor,Sorcery,B,View,Greg Sobetski,$G$12
✓,Fell,Sorcery,B,View,Neo,$J$38
✓,Persist,Sorcery,B,View,Aspi,$F$16
✓,Quag Feast,Sorcery,B,View,Greg Sobetski,$G$25
✓,Toxic Deluge,Sorcery,B,View,Neo,$J$17
✓,Damnation,Sorcery,B,View,Greg Sobetski,$G$29
✓,Gix's Command,Sorcery,B,View,Aspi,$F$32
✓,Scavenger's Talent,Enchantment — Class,B,View,Greg Sobetski,$G$41
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,Greg Sobetski,$G$32
✓,Chthonian Nightmare,Enchantment,B,View,Greg Sobetski,$G$10
✓,The Meathook Massacre,Legendary Enchantment,B,View,Greg Sobetski,$G$14
✓,Necromancy,Enchantment,B,View,Neo,$J$15
✓,Virtue of Persistence,Enchantment,B,View,Neo,$J$30
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Aspi,$F$28
✓,Phyrexian Tower,Legendary Land,B,View,Greg Sobetski,$G$34
✓,Spymaster's Vault,Land,B,View,Aspi,$F$24
,Bomat Courier,Artifact Creature — Construct,R,View,,
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,Aspi,$F$10
✓,Grim Lavamancer,Creature — Human Wizard,R,View,whalematron,$E$24
,Heartfire Hero,Creature — Mouse Soldier,R,View,,
✓,Hired Claw,Creature — Lizard Mercenary,R,View,Elfandor,$I$7
✓,Marauding Mako,Creature — Shark Pirate,R,View,whalematron,$E$42
,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,,
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,Aspi,$F$5
,Voldaren Epicure,Creature — Vampire,R,View,,
,Amped Raptor,Creature — Dinosaur,R,View,,
,Bloodthirsty Adversary,Creature — Vampire,R,View,,
,Dragonkin Berserker,Creature — Human Berserker,R,View,,
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,whalematron,$E$28
,Earthshaker Khenra,Creature — Jackal Warrior,R,View,,
,Emberheart Challenger,Creature — Mouse Warrior,R,View,,
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,Aspi,$F$9
✓,Generous Plunderer,Creature — Human Rogue,R,View,Elfandor,$I$26
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,Aspi,$F$7
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,whalematron,$E$8
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,Elfandor,$I$33
,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,,
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,Elfandor,$I$22
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,whalematron,$E$39
✓,Searslicer Goblin,Creature — Goblin Warrior,R,View,Elfandor,$I$40
✓,Bonecrusher Giant,Creature — Giant,R,View,Elfandor,$I$28
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,whalematron,$E$19
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,Elfandor,$I$42
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,Elfandor,$I$9
,Rampaging Ferocidon,Creature — Dinosaur,R,View,,
✓,Screaming Nemesis,Creature — Spirit,R,View,Elfandor,$I$21
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,Aspi,$F$17
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,whalematron,$E$21
,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,,
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,Aspi,$F$4
,Rampaging Raptor,Creature — Dinosaur,R,View,,
,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,,
✓,Fury,Creature — Elemental Incarnation,R,View,Elfandor,$I$5
✓,Glorybringer,Creature — Dragon,R,View,Elfandor,$I$32
,Goldspan Dragon,Creature — Dragon,R,View,,
,Zealous Conscripts,Creature — Human Warrior,R,View,,
✓,Oliphaunt,Creature — Elephant,R,View,whalematron,$E$20
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,Aspi,$F$39
,Trumpeting Carnosaur,Creature — Dinosaur,R,View,,
✓,Burst Lightning,Instant,R,View,whalematron,$E$27
✓,Fire Magic,Instant,R,View,LastAbzan,$K$10
✓,Lightning Bolt,Instant,R,View,Elfandor,$I$6
✓,Monstrous Rage,Instant,R,View,Elfandor,$I$29
✓,Torch the Tower,Instant,R,View,whalematron,$E$23
✓,Unholy Heat,Instant,R,View,Lame4Fame,$L$18
✓,Abrade,Instant,R,View,Lame4Fame,$L$39
,Ghostfire Slice,Instant,R,View,,
✓,Mine Collapse,Instant,R,View,Elfandor,$I$27
,Fireblast,Instant,R,View,,
✓,Pyrokinesis,Instant,R,View,whalematron,$E$5
✓,Chain Lightning,Sorcery,R,View,Elfandor,$I$8
,Faithless Looting,Sorcery,R,View,,
✓,Flame Slash,Sorcery,R,View,whalematron,$E$9
✓,Iroh's Demonstration,Sorcery — Lesson,R,View,Lame4Fame,$L$36
,Mizzium Mortars,Sorcery,R,View,,
,Mizzix's Mastery,Sorcery,R,View,,
✓,Pyrite Spellbomb,Artifact,R,View,Lame4Fame,$L$40
✓,Chainsaw,Artifact — Equipment,R,View,Patrick,$D$24
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,Patrick,$D$10
✓,Legion Extruder,Artifact,R,View,Lame4Fame,$L$31
✓,Embercleave,Legendary Artifact — Equipment,R,View,Elfandor,$I$24
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,Elfandor,$I$25
,Goblin Bombardment,Enchantment,R,View,,
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,whalematron,$E$4
,Fires of Invention,Enchantment,R,View,,
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,Elfandor,$I$41
✓,Arena of Glory,Land,R,View,Aspi,$F$21
✓,Birds of Paradise,Creature — Bird,G,View,LastAbzan,$K$4
✓,Elvish Mystic,Creature — Elf Druid,G,View,Keith,$H$7
✓,Llanowar Elves,Creature — Elf Druid,G,View,Keith,$H$5
,Molt Tender,Creature — Insect Druid,G,View,,
,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,,
✓,Sazh's Chocobo,Creature — Bird,G,View,LastAbzan,$K$29
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,LastAbzan,$K$8
✓,Badgermole Cub,Creature — Badger Mole,G,View,Keith,$H$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,Keith,$H$12
,Cankerbloom,Creature — Phyrexian Fungus,G,View,,
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,Keith,$H$8
,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,,
✓,Lotus Cobra,Creature — Snake,G,View,LastAbzan,$K$20
,Nishoba Brawler,Creature — Cat Warrior,G,View,,
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,Keith,$H$9
✓,Scavenging Ooze,Creature — Ooze,G,View,Keith,$H$34
✓,Scythecat Cub,Creature — Cat,G,View,Keith,$H$13
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,LastAbzan,$K$13
✓,Sylvan Caryatid,Creature — Plant,G,View,Keith,$H$24
,Tarmogoyf,Creature — Lhurgoyf,G,View,,
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,Keith,$H$37
,Voracious Hydra,Creature — Hydra,G,View,,
✓,Endurance,Creature — Elemental Incarnation,G,View,LastAbzan,$K$37
✓,Eternal Witness,Creature — Human Shaman,G,View,Keith,$H$32
,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,,
,Sandstorm Salvager,Creature — Human Artificer,G,View,,
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,Keith,$H$38
✓,Six,Legendary Creature — Treefolk,G,View,LastAbzan,$K$23
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,Keith,$H$39
✓,Tireless Tracker,Creature — Human Scout,G,View,LastAbzan,$K$25
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,Keith,$H$40
✓,Icetill Explorer,Creature — Insect Scout,G,View,LastAbzan,$K$21
,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,,
,Questing Beast,Legendary Creature — Beast,G,View,,
✓,Timeless Witness,Creature — Human Shaman,G,View,LastAbzan,$K$40
,Ulvenwald Oddity,Creature — Beast,G,View,,
✓,Agonasaur Rex,Creature — Dinosaur,G,View,Keith,$H$43
,Balustrade Wurm,Creature — Wurm,G,View,,
,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,,
✓,Thragtusk,Creature — Beast,G,View,Keith,$H$35
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,LastAbzan,$K$26
✓,Generous Ent,Creature — Treefolk,G,View,Keith,$H$26
,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,,
✓,Primeval Titan,Creature — Giant,G,View,LastAbzan,$K$28
,Titan of Industry,Creature — Elemental,G,View,,
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,Keith,$H$36
,Woodfall Primus,Creature — Treefolk Shaman,G,View,,
✓,Inscription of Abundance,Instant,G,View,Keith,$H$42
✓,Green Sun's Zenith,Sorcery,G,View,LastAbzan,$K$9
✓,Pest Infestation,Sorcery,G,View,Keith,$H$14
✓,Primal Might,Sorcery,G,View,LastAbzan,$K$31
✓,Esper Origins,Sorcery,G,View,Keith,$H$25
✓,Malevolent Rumble,Sorcery,G,View,Keith,$H$23
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,Keith,$H$15
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,Keith,$H$16
✓,The Great Henge,Legendary Artifact,G,View,Keith,$H$29
,Exploration,Enchantment,G,View,,
✓,Utopia Sprawl,Enchantment — Aura,G,View,Keith,$H$21
,Birthing Ritual,Enchantment,G,View,,
✓,Hunter's Talent,Enchantment — Class,G,View,Keith,$H$31
,Innkeeper's Talent,Enchantment — Class,G,View,,
✓,Ranger Class,Enchantment — Class,G,View,Keith,$H$41
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,Keith,$H$10
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,Keith,$H$11
✓,"Boseiju, Who Endures",Legendary Land,G,View,LastAbzan,$K$30
✓,Shifting Woodland,Land,G,View,Keith,$H$27
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,whalematron,$E$16
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,Lame4Fame,$L$24
,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,,
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,No More Lies,Instant,WU,View,Lame4Fame,$L$11
✓,Supreme Verdict,Sorcery,WU,View,Lame4Fame,$L$41
✓,Talisman of Progress,Artifact,WU,View,Lame4Fame,$L$43
✓,Assimilation Aegis,Artifact — Equipment,WU,View,Drew,$C$24
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,Lame4Fame,$L$13
,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,,
✓,Celestial Colonnade,Land,WU,View,Lame4Fame,$L$20
✓,Hallowed Fountain,Land — Plains Island,WU,View,Drew,$C$11
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,Lame4Fame,$L$12
✓,Meticulous Archive,Land — Plains Island,WU,View,Drew,$C$12
✓,Seachrome Coast,Land,WU,View,Drew,$C$21
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,Neo,$J$33
,Priest of Fell Rites,Creature — Human Warlock,WB,View,,
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,Neo,$J$34
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,Drew,$C$36
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Damn,Sorcery,WB,View,Greg Sobetski,$G$38
,Lingering Souls,Sorcery,WB,View,,
,Concealed Courtyard,Land,WB,View,,
,Godless Shrine,Land — Plains Swamp,WB,View,,
,Godless Shrine 2,Land — Plains Swamp,WB,View,,
,Restless Fortress,Land,WB,View,,
,Shadowy Backstreet,Land — Plains Swamp,WB,View,,
✓,Figure of Destiny,Creature — Kithkin,WR,View,Patrick,$D$23
✓,Imodane's Recruiter,Creature — Human Knight,WR,View,Patrick,$D$39
,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,,
,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,,
✓,Lightning Helix,Instant,WR,View,Lame4Fame,$L$34
,Talisman of Conviction,Artifact,WR,View,,
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,Elfandor,$I$17
✓,Elegant Parlor,Land — Mountain Plains,WR,View,Elfandor,$I$15
✓,Inspiring Vantage,Land,WR,View,Lame4Fame,$L$22
